"Time","RelativeSeconds","Source","Line"
"2026-06-15 21:23:32.900","3.519","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:32.900] warn: 157035.19999998808: [Armory] Active profile {""activeProfile"":{""guid"":""18f2a4cc-ecb8-4765-b532-9df401a686d6"",""name"":""OS_P5"",""dpi"":{""X"":1600,""Y"":1600},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[],""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[],""hash"":""de2ccb2014607a84df08306567cd96f0""}}}"
"2026-06-15 21:23:32.905","3.524","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:32.905] info: addProfileNameStructure profileId:2, guid:26a33407-4094-469b-b3b1-f3caae38693b, name:Brian’s MacBook Pro (2)-Default, owner:31933b5452df5708882d4fb55d0b2905f16d829500fe936c56f98d5cd0241a76 ==>"
"2026-06-15 21:23:32.905","3.524","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:32.905] info: addProfile dpiStages [{""dpi"":{""x"":400,""y"":400},""id"":1},{""dpi"":{""x"":800,""y"":800},""id"":2},{""dpi"":{""x"":1600,""y"":1600},""id"":3},{""dpi"":{""x"":3200,""y"":3200},""id"":4},{""dpi"":{""x"":6400,""y"":6400},""id"":5}] mappings [{""inputID"":""Button4"",""inputType"":""MouseInput"",""outputType"":""keyboardGroup"",""keyboardGroup"":{""key"":{""HID"":""69"",""flag"":0,""pageID"":""7""},""keyGroup"":0,""modifiers"":[]},""isHyperShift"":false,""uiThresholdH"":0,""uiThresholdL"":0}]"
"2026-06-15 21:23:32.905","3.524","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:32.905] info: obmEngineMouse.addProfile() profileId:2, guid:26a33407-4094-469b-b3b1-f3caae38693b, name:Brian’s MacBook Pro (2)-Default, owner:31933b5452df5708882d4fb55d0b2905f16d829500fe936c56f98d5cd0241a76, dpiActiveStage:2, dpiNumOfStage:5, brightness: 33, pollingRate: undefined, highSpeedPollingRate:undefined, debounceTime:undefined ==>"
"2026-06-15 21:23:32.999","3.618","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:32.999] info: set polling rate result 33 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""124"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":null,""guid"":null,""name"":null}},""init"":{""value"":{""version"":null},""version"":123},""mapping"":{""value"":{""version"":null,""macroData"":{}}}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""timerTick"":null,""value"":{}},""exportProf..."
"2026-06-15 21:23:33.134","3.753","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:33.134] info: obmEngineMouse.addProfileDPI profileId:2, dpiActiveStage:2, dpiNumOfStage:5, dpiStages:[object Object],[object Object],[object Object],[object Object],[object Object] ==>"
"2026-06-15 21:23:33.134","3.753","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:33.134] info: addProfileNameStructure profileId:2, guid:26a33407-4094-469b-b3b1-f3caae38693b, name:Brian’s MacBook Pro (2)-Default, owner:31933b5452df5708882d4fb55d0b2905f16d829500fe936c56f98d5cd0241a76 ==><=="
"2026-06-15 21:23:33.261","3.88","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:33.261] info: obmEngineMouse.addProfileDPI profileId:2, dpiActiveStage:2, dpiNumOfStage:5, dpiStages:[object Object],[object Object],[object Object],[object Object],[object Object] ==><=="
"2026-06-15 21:23:33.284","3.903","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:33.284] info: obmEngineMouse.addProfileScrollWheel profileId:2, scrollMode:0"
"2026-06-15 21:23:33.306","3.925","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}1.log","[2026/06/15 21:23:33.306] info: addProfile-different i: 0 , defaultMapping {""inputID"":""Button4"",""inputType"":""MouseInput"",""mouseInput"":""Button4"",""mouseGroup"":{""mouseAssignment"":""Previous""},""outputType"":""mouseGroup""} new mapping: {""inputID"":""Button4"",""inputType"":""MouseInput"",""outputType"":""keyboardGroup"",""keyboardGroup"":{""key"":{""HID"":""69"",""flag"":0,""pageID"":""7""},""keyGroup"":0,""modifiers"":[]},""isHyperShift"":false,""uiThresholdH"":0,""uiThresholdL"":0}"
