"Time","RelativeSeconds","Source","Line"
"2026-06-15 21:31:33.403","55.621","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.403] warn: 113099.90000003576: set device metadata 632546H26201116: {""activeProfileGuid"":""26a33407-4094-469b-b3b1-f3caae38693b""} {""activeProfileGuid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Razer Basilisk V3 Pro""}"
"2026-06-15 21:31:33.403","55.621","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.403] warn: 113099.80000001192: set active profile 632546H26201116: 26a33407-4094-469b-b3b1-f3caae38693b"
"2026-06-15 21:31:33.403","55.621","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.403] info: from actionFromUI newActiveProfileGUID 26a33407-4094-469b-b3b1-f3caae38693b"
"2026-06-15 21:31:33.404","55.622","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.404] warn: 113101.10000002384: [Armory] Active profile {""activeProfile"":{""guid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Brian’s MacBook Pro (2)-Default"",""dpi"":{""X"":800,""Y"":800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""inputID"":""Button4"",""inputType"":""MouseInput"",""outputType"":""keyboardGroup"",""keyboardGroup"":{""key"":""KEY_F12"",""keyGroup"":0,""modifiers"":[]},""isHyperShift"":false}],""dpiStages"":{""stages"":[{""x"":400,""y"":400,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":64,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":88,""flag"":0}},{""input"":{""type"":""mouse"",""id"":128,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":88,""flag"":1}}],""hash"":""89967b34709a58186a78c3b83f6240f4""},""obmSlotId"":[2]}}"
"2026-06-15 21:31:33.414","55.632","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.414] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""localStorageSetItem"",""payload"":{""key"":""synapse_172_{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""value"":""{\""productId\"":170,\""editionId\"":0,\""name\"":\""Razer Basilisk V3 Pro\"",\""reportIDs\"":{\""4\"":\""razerKeyReportID\"",\""5\"":\""hardwareEventReportID\""},\""category\"":\""MOUSE\"",\""calibration\"":{\""calibrationTrackingMode\"":false,\""smartTracking\"":{\""isAsymmetric\"":false,\""trackingDistance\"":2,\""liftOffDistance\"":13,\""landingDistance\"":12},\""presetTracking\"":{\""isAsymmetric\"":false,\""surfaceDistance\"":5,\""liftOffDistance\"":5,\""landingDistance\"":3},\""selectedProfile\"":{},\""profiles\"":[{\""type\"":\""default\""}]},\""schemaVersion\"":12,\""defaultMappings\"":{\""appEngine\"":{\""mappings\"":[{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":1,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":2,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":1}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":4,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":8,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""disabled\""}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":1},\""output\"":{\""type\"":\""scrollModeSwitch\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":82,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""sensitivity\"",\""sensitivityGroup\"":{\""sensitivityAssignment\"":\""DPI_CycleUp\"",\""independent\"":false,\""x\"":800,\""y\"":800},\""flag\"":0}},{\""input\"":{\""type\"":\""razer..."
"2026-06-15 21:31:33.417","55.635","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.417] info: setSingleButtonAssignment 1, 15, 0, 6, 5 5,1,144,1,144:,"
"2026-06-15 21:31:33.417","55.635","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.417] info: setSingleButtonMapping buttonId: 15 buttonMode 0 fnId 6 DPI fnDataByteSize 5 fnDataByte {""0"":5,""1"":1,""2"":144,""3"":1,""4"":144}"
"2026-06-15 21:31:33.417","55.635","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.417] info: setSingleButtonMapping profileId: 1 {""inputID"":""DKM_SB_02"",""inputType"":""DKMInput"",""dkmInput"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":400,""y"":400},""outputType"":""sensitivityGroup""} {""inputID"":""DKM_SB_02"",""inputType"":""DKMInput"",""dkmInput"":""DKM_SB_02"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""x"":400,""y"":400},""outputType"":""sensitivityGroup""}"
"2026-06-15 21:31:33.418","55.636","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.418] info: Handler Not found for feature obmSlotId__deleted in Initialization, Ignoring action."
"2026-06-15 21:31:33.446","55.664","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}2.log","[2026/06/15 21:31:33.446] info: set OBM result 33 {""taskRunner"":{""brightness"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""version"":""131"",""value"":33},""on"":{""timerTick"":null,""value"":{}},""off"":{""timerTick"":null,""value"":{}}},""dpi"":{""currValue"":{""x"":null,""y"":null},""lastModifiedDate"":null,""setting"":{""value"":{}},""otfsOn"":{""timerTick"":null,""value"":{}},""otfsChange"":{""timerTick"":null,""value"":{}},""otfsOff"":{""timerTick"":null,""value"":{}},""clutchOn"":{""timerTick"":null,""value"":{}},""clutchOff"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""currValue"":{""pollingRate"":null},""lastModifiedDate"":null,""setting"":{""value"":{""pollingRate"":null}}},""lightingEffect"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""effectId"":null}}},""switchProfile"":{""setting"":{""version"":null}},""calibration"":{""setting"":{""version"":null}},""obm"":{""currValue"":{},""lastModifiedDate"":null,""setting"":{""value"":{""timerTick"":null,""macroData"":null,""slot"":null,""guid"":null,""name"":null}},""init"":{""value"":{""version"":null},""version"":130},""mapping"":{""value"":{""version"":null,""macroData"":{}},""version"":131}}},""taskMaker"":{""brightness"":{""setBrightness"":{""timerTick"":null},""switchOffLighting"":{""timerTick"":null}},""dpi"":{""otfs"":{""type"":null,""timerTick"":null,""localStorageVersion"":null,""value"":{}},""clutch"":{""timerTick"":null,""value"":{}},""stages"":{""timerTick"":null,""value"":{}}},""pollingRate"":{""setPollingRate"":{""timerTick"":null,""value"":{}}},""lightingEffect"":{""setEffect"":{""timerTick"":null,""value"":{}},""toggleChroma"":{""timerTick"":null,""value"":null},""customColors"":{""timerTick"":null,""value"":null}},""exclusive"":{""switchProfile"":{""timerTick"":null,""value"":null},""otfm"":{""timerTick"":null}},""calibration"":{""setProfile"":{""timerTick"":null}},""keyMapping"":{""setKeyMapping"":{""version"":null,""value"":{}}},""profile"":{""addProfile"":{""timerTick"":null,""value"":{}},""deleteProfile"":{""timerTick"":null,""value"":{}},""renameProfile"":{""timerTick"":null,""value"":{}},""duplicateProfile"":{""timerTick"":null,""value"":{}},""switchProfile"":{""timerTick"":null,""value"":{}},""expor..."
