"Time","RelativeSeconds","Source","Line"
"2026-06-15 21:36:58.211","-8.132","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.211] warn: 437901.10000002384: set device metadata 632546H26201116: {""activeProfileGuid"":""26a33407-4094-469b-b3b1-f3caae38693b""} {""activeProfileGuid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Razer Basilisk V3 Pro""}"
"2026-06-15 21:36:58.211","-8.132","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.211] warn: 437901.10000002384: set active profile 632546H26201116: 26a33407-4094-469b-b3b1-f3caae38693b"
"2026-06-15 21:36:58.211","-8.132","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.211] info: from actionFromUI newActiveProfileGUID 26a33407-4094-469b-b3b1-f3caae38693b"
"2026-06-15 21:36:58.212","-8.131","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.212] warn: 437902.3000000119: [Armory] Active profile {""activeProfile"":{""guid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Brian’s MacBook Pro (2)-Default"",""dpi"":{""X"":800,""Y"":800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""inputID"":""Button4"",""inputType"":""MouseInput"",""outputType"":""keyboardGroup"",""keyboardGroup"":{""key"":""KEY_F12"",""keyGroup"":0,""modifiers"":[]},""isHyperShift"":false}],""dpiStages"":{""stages"":[{""x"":1150,""y"":1150,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1600,""y"":1600,""independent"":false,""visible"":true},{""x"":3200,""y"":3200,""independent"":false,""visible"":true},{""x"":6400,""y"":6400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":64,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":88,""flag"":0}},{""input"":{""type"":""mouse"",""id"":128,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":88,""flag"":1}}],""hash"":""89967b34709a58186a78c3b83f6240f4""},""obmSlotId"":[2]}}"
"2026-06-15 21:36:58.219","-8.124","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.219] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""localStorageSetItem"",""payload"":{""key"":""synapse_172_{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""value"":""{\""productId\"":170,\""editionId\"":0,\""name\"":\""Razer Basilisk V3 Pro\"",\""reportIDs\"":{\""4\"":\""razerKeyReportID\"",\""5\"":\""hardwareEventReportID\""},\""category\"":\""MOUSE\"",\""calibration\"":{\""calibrationTrackingMode\"":false,\""smartTracking\"":{\""isAsymmetric\"":false,\""trackingDistance\"":2,\""liftOffDistance\"":13,\""landingDistance\"":12},\""presetTracking\"":{\""isAsymmetric\"":false,\""surfaceDistance\"":5,\""liftOffDistance\"":5,\""landingDistance\"":3},\""selectedProfile\"":{},\""profiles\"":[{\""type\"":\""default\""}]},\""schemaVersion\"":12,\""defaultMappings\"":{\""appEngine\"":{\""mappings\"":[{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":1,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":2,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":1}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":4,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":8,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""disabled\""}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":1},\""output\"":{\""type\"":\""scrollModeSwitch\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":82,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""sensitivity\"",\""sensitivityGroup\"":{\""sensitivityAssignment\"":\""DPI_CycleUp\"",\""independent\"":false,\""x\"":800,\""y\"":800},\""flag\"":0}},{\""input\"":{\""type\"":\""razer..."
"2026-06-15 21:36:58.220","-8.123","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.220] info: Handler Not found for feature obmSlotId__deleted in Initialization, Ignoring action."
"2026-06-15 21:36:58.231","-8.112","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.231] info: setSingleButtonAssignment 2, 4, 0, 2, 2 0,69,0,0,0:,"
"2026-06-15 21:36:58.231","-8.112","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.231] info: setSingleButtonMapping buttonId: 4 buttonMode 0 fnId 2 KeyCode fnDataByteSize 2 fnDataByte {""0"":0,""1"":69,""2"":0,""3"":0,""4"":0}"
"2026-06-15 21:36:58.231","-8.112","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.231] info: setSingleButtonMapping profileId: 2 {""inputID"":""Button4"",""inputType"":""MouseInput"",""outputType"":""keyboardGroup"",""keyboardGroup"":{""key"":{""HID"":""69"",""flag"":0,""pageID"":""7""},""keyGroup"":0,""modifiers"":[]},""isHyperShift"":false,""uiThresholdH"":0,""uiThresholdL"":0} {""inputID"":""Button4"",""inputType"":""MouseInput"",""outputType"":""keyboardGroup"",""keyboardGroup"":{""key"":{""HID"":""69"",""flag"":0,""pageID"":""7""},""keyGroup"":0,""modifiers"":[]},""isHyperShift"":false,""uiThresholdH"":0,""uiThresholdL"":0}"
"2026-06-15 21:36:58.339","-8.004","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 21:36:58.339] info: setSingleButtonMapping buttonId: 4 buttonMode 0 fnId 2 KeyCode fnDataByteSize 2 fnDataByte {""0"":0,""1"":69,""2"":0,""3"":0,""4"":0}"
