"Time","RelativeSeconds","Source","Line"
"2026-06-15 22:45:55.632","14.077","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.632] warn: 4174: [Armory] Active profile {""activeProfile"":{""guid"":""18f2a4cc-ecb8-4765-b532-9df401a686d6"",""name"":""OS_P5"",""dpi"":{""X"":1600,""Y"":1600},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""MouseInput"",""inputID"":""Button5"",""keyboardGroup"":{""keyGroup"":0,""key"":""KEY_F"",""modifiers"":[]}}],""dpiStages"":{""stages"":[{""x"":100,""y"":100,""independent"":false,""visible"":true},{""x"":100,""y"":100,""independent"":false,""visible"":true},{""x"":100,""y"":100,""independent"":false,""visible"":true},{""x"":100,""y"":100,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true}],""active"":5,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":256,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":0}},{""input"":{""type"":""mouse"",""id"":512,""hypershift"":false},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":1}}],""hash"":""072d83269ccf1d7aa06bc3b66fe3f09f""},""obmSlotId"":[3]}}"
"2026-06-15 22:45:55.637","14.082","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.637] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""localStorageSetItem"",""payload"":{""key"":""synapse_172_{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""value"":""{\""productId\"":170,\""editionId\"":0,\""name\"":\""Razer Basilisk V3 Pro\"",\""reportIDs\"":{\""4\"":\""razerKeyReportID\"",\""5\"":\""hardwareEventReportID\""},\""category\"":\""MOUSE\"",\""calibration\"":{\""calibrationTrackingMode\"":false,\""smartTracking\"":{\""isAsymmetric\"":false,\""trackingDistance\"":2,\""liftOffDistance\"":13,\""landingDistance\"":12},\""presetTracking\"":{\""isAsymmetric\"":false,\""surfaceDistance\"":5,\""liftOffDistance\"":5,\""landingDistance\"":3},\""selectedProfile\"":{},\""profiles\"":[{\""type\"":\""default\""}]},\""schemaVersion\"":12,\""defaultMappings\"":{\""appEngine\"":{\""mappings\"":[{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":1,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":2,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""069a1429-bd96-44ba-bf69-ef11e68a4edb\"",\""flag\"":1}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":4,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":0,\""repeat\"":0,\""delay\"":143}},{\""input\"":{\""type\"":\""mouse\"",\""id\"":0,\""data\"":8,\""hypershift\"":false},\""output\"":{\""type\"":\""turbo\"",\""guid\"":\""176e460e-5261-4917-b8f7-30d8ebbe84da\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""disabled\""}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":84,\""hypershift\"":false,\""flag\"":1},\""output\"":{\""type\"":\""scrollModeSwitch\"",\""flag\"":1}},{\""input\"":{\""type\"":\""razerKey\"",\""key\"":82,\""hypershift\"":false,\""flag\"":0},\""output\"":{\""type\"":\""sensitivity\"",\""sensitivityGroup\"":{\""sensitivityAssignment\"":\""DPI_CycleUp\"",\""independent\"":false,\""x\"":800,\""y\"":800},\""flag\"":0}},{\""input\"":{\""type\"":\""razer..."
"2026-06-15 22:45:55.644","14.089","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.644] info: [saveRuntimeDataToWindowStorage] {""serialNumber"":""632546H26201116"",""editionId"":0,""layoutId"":0,""activeProfile"":"""",""productId"":170,""profiles"":[{""guid"":""49277292-1bea-4673-9ed9-5d91113c8cbc"",""name"":""BRIAN-DESKTOP-Default"",""dpi"":{""x"":1800,""y"":1800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":1,""selectedEffectSetting"":{""color1"":""#ffffff""},""regionId"":0,""customColors"":[]},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""keyboardGroup"":{""keyGroup"":0,""key"":""KEY_F"",""modifiers"":[]}}],""dpiStages"":{""stages"":[{""x"":600,""y"":600,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1000,""y"":1000,""independent"":false,""visible"":true},{""x"":1200,""y"":1200,""independent"":false,""visible"":true},{""x"":1400,""y"":1400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":1}}],""hash"":""1ec523dfdc0a90699072d03081f193eb""}},{""guid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Brian’s MacBook Pro (2)-Default"",""dpi"":{""X"":800,""Y"":800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects..."
"2026-06-15 22:45:55.649","14.094","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.649] info: RzMappingEngine.callMappingEngineAction() args: {""action"":""registerUnsupportedMapping"",""payload"":{""usbDevice"":{""name"":""BSK V3 PRO"",""mac"":""fa2e1f486638"",""uuid"":""fa2e1f486638"",""rssi"":-1,""productId"":172,""vendorId"":1678,""connectable"":true,""deviceContainerId"":""{A39BD4A9-2333-58EC-AD1A-73011C07BE69}"",""deviceId"":""HID\\{00001812-0000-1000-8000-00805F9B34FB}_DEV_VID&02068E_PID&00AC_REV&0001_FA2E1F486638&COL06\\C&2FC7BD3&0&0005"",""productName"":""BSK V3 PRO"",""isInputEventsRegistered"":true}}} , r:{""result"":true,""reason"":"""",""deviceInfo"":""{\""vendorId\"":1678,\""containerId\"":\""{A39BD4A9-2333-58EC-AD1A-73011C07BE69}\"",\""productId\"":172,\""guid\"":\""ec6f5759-61e9-4c09-a871-25624dd1adca\""}""}, {""result"":true,""reason"":"""",""deviceInfo"":""{\""vendorId\"":1678,\""containerId\"":\""{A39BD4A9-2333-58EC-AD1A-73011C07BE69}\"",\""productId\"":172,\""guid\"":\""ec6f5759-61e9-4c09-a871-25624dd1adca\""}""}"
"2026-06-15 22:45:55.650","14.095","profiles2.log","[2026/06/15 22:45:55.650] info: linkedGamesReducer log {""type"":""GET_ALL_DEVICES"",""payload"":[{""serialNumber"":""632546H26201116"",""editionId"":0,""layoutId"":0,""activeProfile"":"""",""productId"":170,""profiles"":[{""guid"":""49277292-1bea-4673-9ed9-5d91113c8cbc"",""name"":""BRIAN-DESKTOP-Default"",""dpi"":{""x"":1800,""y"":1800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":1,""selectedEffectSetting"":{""color1"":""#ffffff""},""regionId"":0,""customColors"":[]},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""keyboardGroup"":{""keyGroup"":0,""key"":""KEY_F"",""modifiers"":[]}}],""dpiStages"":{""stages"":[{""x"":600,""y"":600,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1000,""y"":1000,""independent"":false,""visible"":true},{""x"":1200,""y"":1200,""independent"":false,""visible"":true},{""x"":1400,""y"":1400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":1}}],""hash"":""1ec523dfdc0a90699072d03081f193eb""},""id"":""49277292-1bea-4673-9ed9-5d91113c8cbc""},{""guid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Brian’s MacBook Pro (2)-Default"",""dpi"":{""X"":800,""Y"":800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""..."
"2026-06-15 22:45:55.770","14.215","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.770] info: [saveRuntimeDataToWindowStorage] {""serialNumber"":""632546H26201116"",""editionId"":0,""layoutId"":0,""activeProfile"":"""",""productId"":170,""profiles"":[{""guid"":""49277292-1bea-4673-9ed9-5d91113c8cbc"",""name"":""BRIAN-DESKTOP-Default"",""dpi"":{""x"":1800,""y"":1800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":1,""selectedEffectSetting"":{""color1"":""#ffffff""},""regionId"":0,""customColors"":[]},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects"":5,""mappings"":[{""outputType"":""keyboardGroup"",""isHyperShift"":false,""inputType"":""DKMInput"",""inputID"":""DKM_SB_02"",""keyboardGroup"":{""keyGroup"":0,""key"":""KEY_F"",""modifiers"":[]}}],""dpiStages"":{""stages"":[{""x"":600,""y"":600,""independent"":false,""visible"":true},{""x"":800,""y"":800,""independent"":false,""visible"":true},{""x"":1000,""y"":1000,""independent"":false,""visible"":true},{""x"":1200,""y"":1200,""independent"":false,""visible"":true},{""x"":1400,""y"":1400,""independent"":false,""visible"":true}],""active"":2,""enable"":true,""count"":5},""pollingRateWireless"":1000,""pollingRate"":1000,""sidePanelMappings"":{},""appEngine"":{""mappings"":[{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""type"":""keyboard"",""scancode"":33,""flag"":1}}],""hash"":""1ec523dfdc0a90699072d03081f193eb""}},{""guid"":""26a33407-4094-469b-b3b1-f3caae38693b"",""name"":""Brian’s MacBook Pro (2)-Default"",""dpi"":{""X"":800,""Y"":800},""brightness"":{""isEnabled"":true,""value"":33},""switchOffLighting"":{""isDisplayOn"":false,""isIdleEnabled"":false,""idleMinutes"":1},""scrollWheel"":{""accelerationEnabled"":false,""smartReelEnabled"":false,""scrollMode"":""Tactile""},""quickEffects"":{""selectedEffectId"":3},""ledPowerSettings"":{""idleState"":1,""ileStateValue"":60},""lowBatteryEffects..."
"2026-06-15 22:45:55.776","14.221","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.776] warn: [!] {""productId"":170,""editionId"":0,""name"":""Razer Basilisk V3 Pro"",""reportIDs"":{""4"":""razerKeyReportID"",""5"":""hardwareEventReportID""},""category"":""MOUSE"",""calibration"":{""calibrationTrackingMode"":false,""smartTracking"":{""isAsymmetric"":false,""trackingDistance"":2,""liftOffDistance"":13,""landingDistance"":12},""presetTracking"":{""isAsymmetric"":false,""surfaceDistance"":5,""liftOffDistance"":5,""landingDistance"":3},""selectedProfile"":{},""profiles"":[{""type"":""default""}]},""schemaVersion"":12,""defaultMappings"":{""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":0,""data"":1,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""069a1429-bd96-44ba-bf69-ef11e68a4edb"",""flag"":0,""repeat"":0,""delay"":143}},{""input"":{""type"":""mouse"",""id"":0,""data"":2,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""069a1429-bd96-44ba-bf69-ef11e68a4edb"",""flag"":1}},{""input"":{""type"":""mouse"",""id"":0,""data"":4,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""176e460e-5261-4917-b8f7-30d8ebbe84da"",""flag"":0,""repeat"":0,""delay"":143}},{""input"":{""type"":""mouse"",""id"":0,""data"":8,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""176e460e-5261-4917-b8f7-30d8ebbe84da"",""flag"":1}},{""input"":{""type"":""razerKey"",""key"":84,""hypershift"":false,""flag"":0},""output"":{""type"":""disabled""}},{""input"":{""type"":""razerKey"",""key"":84,""hypershift"":false,""flag"":1},""output"":{""type"":""scrollModeSwitch"",""flag"":1}},{""input"":{""type"":""razerKey"",""key"":82,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_CycleUp"",""independent"":false,""x"":800,""y"":800},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":82,""hypershift"":false,""flag"":1},""output"":{""type"":""disabled""}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""independent"":false,""x"":400,""y"":400},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sen..."
"2026-06-15 22:45:55.778","14.223","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.778] warn: 4319.399999976158: [Armory] Loaded deviceData {""productId"":170,""editionId"":0,""name"":""Razer Basilisk V3 Pro"",""reportIDs"":{""4"":""razerKeyReportID"",""5"":""hardwareEventReportID""},""category"":""MOUSE"",""calibration"":{""calibrationTrackingMode"":false,""smartTracking"":{""isAsymmetric"":false,""trackingDistance"":2,""liftOffDistance"":13,""landingDistance"":12},""presetTracking"":{""isAsymmetric"":false,""surfaceDistance"":5,""liftOffDistance"":5,""landingDistance"":3},""selectedProfile"":{},""profiles"":[{""type"":""default""}]},""schemaVersion"":12,""defaultMappings"":{""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":0,""data"":1,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""069a1429-bd96-44ba-bf69-ef11e68a4edb"",""flag"":0,""repeat"":0,""delay"":143}},{""input"":{""type"":""mouse"",""id"":0,""data"":2,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""069a1429-bd96-44ba-bf69-ef11e68a4edb"",""flag"":1}},{""input"":{""type"":""mouse"",""id"":0,""data"":4,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""176e460e-5261-4917-b8f7-30d8ebbe84da"",""flag"":0,""repeat"":0,""delay"":143}},{""input"":{""type"":""mouse"",""id"":0,""data"":8,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""176e460e-5261-4917-b8f7-30d8ebbe84da"",""flag"":1}},{""input"":{""type"":""razerKey"",""key"":84,""hypershift"":false,""flag"":0},""output"":{""type"":""disabled""}},{""input"":{""type"":""razerKey"",""key"":84,""hypershift"":false,""flag"":1},""output"":{""type"":""scrollModeSwitch"",""flag"":1}},{""input"":{""type"":""razerKey"",""key"":82,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_CycleUp"",""independent"":false,""x"":800,""y"":800},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":82,""hypershift"":false,""flag"":1},""output"":{""type"":""disabled""}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""independent"":false,""x"":400,""y"":400},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""ty..."
"2026-06-15 22:45:55.779","14.224","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.779] warn: 4320.699999988079: curDeviceData {""productId"":170,""editionId"":0,""name"":""Razer Basilisk V3 Pro"",""reportIDs"":{""4"":""razerKeyReportID"",""5"":""hardwareEventReportID""},""category"":""MOUSE"",""calibration"":{""calibrationTrackingMode"":false,""smartTracking"":{""isAsymmetric"":false,""trackingDistance"":2,""liftOffDistance"":13,""landingDistance"":12},""presetTracking"":{""isAsymmetric"":false,""surfaceDistance"":5,""liftOffDistance"":5,""landingDistance"":3},""selectedProfile"":{},""profiles"":[{""type"":""default""}]},""schemaVersion"":12,""defaultMappings"":{""appEngine"":{""mappings"":[{""input"":{""type"":""mouse"",""id"":0,""data"":1,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""069a1429-bd96-44ba-bf69-ef11e68a4edb"",""flag"":0,""repeat"":0,""delay"":143}},{""input"":{""type"":""mouse"",""id"":0,""data"":2,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""069a1429-bd96-44ba-bf69-ef11e68a4edb"",""flag"":1}},{""input"":{""type"":""mouse"",""id"":0,""data"":4,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""176e460e-5261-4917-b8f7-30d8ebbe84da"",""flag"":0,""repeat"":0,""delay"":143}},{""input"":{""type"":""mouse"",""id"":0,""data"":8,""hypershift"":false},""output"":{""type"":""turbo"",""guid"":""176e460e-5261-4917-b8f7-30d8ebbe84da"",""flag"":1}},{""input"":{""type"":""razerKey"",""key"":84,""hypershift"":false,""flag"":0},""output"":{""type"":""disabled""}},{""input"":{""type"":""razerKey"",""key"":84,""hypershift"":false,""flag"":1},""output"":{""type"":""scrollModeSwitch"",""flag"":1}},{""input"":{""type"":""razerKey"",""key"":82,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_CycleUp"",""independent"":false,""x"":800,""y"":800},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":82,""hypershift"":false,""flag"":1},""output"":{""type"":""disabled""}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":0},""output"":{""type"":""sensitivity"",""sensitivityGroup"":{""sensitivityAssignment"":""DPI_Clutch"",""independent"":false,""x"":400,""y"":400},""flag"":0}},{""input"":{""type"":""razerKey"",""key"":81,""hypershift"":false,""flag"":1},""output"":{""type"":""sensitiv..."
"2026-06-15 22:45:55.786","14.231","products_170_mw {A39BD4A9-2333-58EC-AD1A-73011C07BE69}3.log","[2026/06/15 22:45:55.786] info: Handler Not found for feature obmSlotId in Initialization, Ignoring action."
